icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c542b,BCS73B  ,Germany,1762999382,1762999382,8.891,49.0099,10058.4,False,215.26,219.47,0,,10309.86,1000,False,0
4b5da1,ATL780  ,Switzerland,1762999348,1762999348,8.5679,47.4442,,True,0.19,253.12,,,,,False,0
440058,BCS24M  ,Austria,1762999382,1762999382,8.073,50.4182,10370.82,False,215.28,246.93,-0.33,,10599.42,1000,False,0
a41cf8,UPS284  ,United States,1762999382,1762999382,7.7681,50.9137,3939.54,False,219.47,37.38,15.93,,4046.22,3747,False,0
896195,UAE242  ,United Arab Emirates,1762999381,1762999382,6.1562,52.3488,11887.2,False,276.24,104.01,0.33,,12024.36,0702,False,0
738101,ELY003  ,Israel,1762999381,1762999381,8.73,47.4597,11582.4,False,238.74,305.88,-0.33,,11894.82,2263,False,0
343041,SWT1CW  ,Spain,1762999381,1762999382,9.1773,50.5682,5791.2,False,143.8,102.4,0.33,,5951.22,7717,False,0
7380c1,ELY025  ,Israel,1762999381,1762999381,8.6966,47.4711,10972.8,False,240.17,305.94,-0.33,,11292.84,2222,False,0
440bcc,BCS166  ,Austria,1762999381,1762999381,8.0522,51.1579,3634.74,False,153.76,260.76,-9.75,,3749.04,4165,False,0
4bb195,THY181  ,Turkey,1762999381,1762999381,6.585,48.7034,10363.2,False,238.71,303.93,-0.65,,10637.52,2750,False,0
4bb193,THY9LC  ,Turkey,1762999381,1762999382,8.2242,51.6764,11879.58,False,272.63,103.64,0,,12062.46,1147,False,0
3ddc6b,CHX86   ,Germany,1762999381,1762999382,9.8859,52.5968,487.68,False,49.52,222.47,0.33,,495.3,0020,False,0
a1b5e7,UAL141  ,United States,1762999381,1762999381,6.7578,48.3094,10363.2,False,245.82,307.52,-0.33,,10637.52,1156,False,0
4bcda1,SXS22R  ,Turkey,1762999342,1762999380,7.1207,50.8821,,True,0,126.56,,,,6437,False,0
78029e,CSS112  ,China,1762999382,1762999382,6.1254,51.0978,6789.42,False,246.67,46.01,13.33,,6934.2,7104,False,0
01024d,MSC2904 ,Egypt,1762999360,1762999360,7.145,50.8688,,True,6.17,225,,,,3562,False,0
01024c,MSC2917 ,Egypt,1762999381,1762999381,7.1209,50.881,,True,0,216.56,,,,2541,False,0
346318,BCS47H  ,Spain,1762999381,1762999381,6.9548,46.3319,10363.2,False,217.88,206.2,0,,10675.62,1000,False,0
3c825c,F149    ,Germany,1762999175,1762999175,9.2012,48.684,,True,5.92,345.94,,,,,False,0
3c81f9,M07     ,Germany,1762999381,1762999381,9.2203,48.693,,True,4.12,92.81,,,,,False,0
45cf24,SRR6402 ,Denmark,1762999381,1762999381,8.1272,49.8766,9814.56,False,232.6,165.13,13.33,,10035.54,2570,False,0
45ce47,SRR6978 ,Denmark,1762999381,1762999381,6.227,50.8076,7566.66,False,205.51,290.98,10.08,,7749.54,4131,False,0
0100a7,MSR523  ,Egypt,1762999381,1762999382,8.5906,48.9019,12496.8,False,251.13,124.15,0,,12755.88,0102,False,0
451dad,BCS2204 ,Bulgaria,1762999381,1762999382,6.5863,48.0756,10363.2,False,223.2,347.76,0,,10629.9,5765,False,0
4b17fc,SWR105W ,Switzerland,1762999308,1762999308,8.562,47.4409,,True,0,244.69,,,,,False,0
4b17fa,GRUEZI  ,Switzerland,1762999377,1762999377,8.5651,47.4419,,True,0,146.25,,,,2000,False,0
