icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c4b31,DLH573  ,Germany,1762401889,1762401890,9.0322,48.3525,10492.74,False,251.98,352.85,-9.75,,10805.16,1000,False,0
505cf6,AXE6810 ,Slovakia,1762401889,1762401889,8.0691,51.8928,9753.6,False,231.36,11.93,0,,10012.68,3730,False,0
873356,ANA217  ,Japan,1762401889,1762401889,7.0113,51.8152,10058.4,False,248.12,144.37,0,,10325.1,2030,False,0
4401e2,TAY3BB  ,Austria,1762401889,1762401889,7.4154,47.7513,1165.86,False,109.59,155.6,-6.83,,1234.44,1000,False,0
452084,BCS4PK  ,Bulgaria,1762401889,1762401889,7.1301,50.8798,83.82,False,72.46,137.59,-4.23,,144.78,4157,False,0
45202b,CGF1808 ,Bulgaria,1762401889,1762401889,9.9342,50.0644,10058.4,False,226.16,116.33,0,,10347.96,6434,False,0
781b5c,CCA949  ,China,1762401889,1762401889,10.2987,49.1225,10972.8,False,247.65,202.73,0,,11148.06,0622,False,0
406948,BAW16   ,United Kingdom,1762401889,1762401890,6.3966,50.7486,10972.8,False,238.44,290.19,0.33,,11247.12,0626,False,0
452101,SWT8ER  ,Bulgaria,1762401889,1762401889,7.2886,50.0171,10668,False,249,66.24,0,,10957.56,1000,False,0
3451d6,SWT1SO  ,Spain,1762401889,1762401889,7.7005,50.6498,3048,False,96.52,121.49,4.55,,3131.82,6437,False,0
3c5b32,OCN139  ,Germany,1762401890,1762401890,8.1678,49.8201,2743.2,False,130.53,253.28,0,,2849.88,1000,False,0
a01b80,FDX5168 ,United States,1762401889,1762401889,8.169,46.5286,8991.6,False,238.05,151.33,-11.7,,9273.54,1000,False,0
406f7a,BAW12   ,United Kingdom,1762401889,1762401889,10.0402,49.7336,12184.38,False,232.98,293.28,-0.33,,12473.94,4767,False,0
48c5eb,SAR1922 ,Poland,1762401890,1762401890,10.1165,49.6869,6408.42,False,134.84,123.33,0,,6614.16,7655,False,0
48c5e8,SRN6262 ,Poland,1762401889,1762401889,7.3234,47.8814,1859.28,False,108.61,152.34,-5.2,,1920.24,4120,False,0
48c5e5,SAR1976 ,Poland,1762401889,1762401889,10.4268,49.6467,6400.8,False,132.89,122.03,0,,6621.78,7645,False,0
48c5e4,SRN1996 ,Poland,1762401889,1762401889,6.9038,49.6624,5791.2,False,125.52,190.39,0,,5958.84,4112,False,0
a4f5f0,DAL234  ,United States,1762401889,1762401889,8.5882,47.1577,11582.4,False,245.98,123.66,0,,11894.82,5210,False,0
a55e46,GTI8092 ,United States,1762401889,1762401889,6.9763,50.2637,5227.32,False,183.51,108.13,-10.08,,5394.96,2010,False,0
341446,BCS4908 ,Spain,1762401889,1762401889,7.1195,48.004,3436.62,False,164.47,58.3,-8.78,,3566.16,1000,False,0
06a2f6,QTR1K   ,Qatar,1762401889,1762401889,9.8916,49.7738,11582.4,False,240.29,292.67,0,,11887.2,3106,False,0
781799,CSN347  ,China,1762401889,1762401889,7.8198,52.9609,11582.4,False,236.31,220.94,0,,11673.84,3510,False,0
3c81f3,M01     ,Germany,1762401881,1762401881,9.2041,48.6883,,True,5.4,78.75,,,,,False,0
3c81f9,M07     ,Germany,1762401889,1762401889,9.2144,48.6911,,True,9.26,53.44,,,,,False,0
780561,CES219  ,China,1762401889,1762401889,8.6809,50.1698,2956.56,False,149.93,249.51,-8.78,,3078.48,1000,False,0
45ce57,SRR6498 ,Denmark,1762401889,1762401890,8.9098,47.4466,11254.74,False,233.97,162.6,-3.58,,11551.92,2530,False,0
3c667a,DLH581  ,Germany,1762401889,1762401889,8.1999,49.9657,1432.56,False,114.73,68.15,-2.93,,1493.52,1000,False,0
3c408d,,Germany,1762401853,1762401853,8.5342,50.0375,,True,9.77,247.5,,,,,False,0
3c5425,BCS186  ,Germany,1762401889,1762401889,7.9903,49.992,2339.34,False,129.1,205.24,-5.53,,2430.78,1000,False,0
3c542c,BCS10K  ,Germany,1762401888,1762401889,9.4641,49.1527,9448.8,False,239.17,222.82,0,,9761.22,1000,False,0
c02ec7,ACA57   ,Canada,1762401889,1762401890,10.313,52.4343,11582.4,False,240.89,299.14,-0.65,,11856.72,3226,False,0
4b5da1,ATL780  ,Switzerland,1762401832,1762401832,8.5571,47.4541,,True,0.06,244.69,,,,,False,0
4b5dad,RTT1    ,Switzerland,1762401885,1762401886,8.552,47.4608,,True,0,270,,,,,False,0
3c656b,OCN157  ,Germany,1762401890,1762401890,8.5636,50.0346,,True,20.58,70.31,,,,5214,False,0
3c6573,DLH595  ,Germany,1762401890,1762401890,8.4509,50.0077,464.82,False,75.82,70.58,-3.9,,518.16,1000,False,0
3c6572,DLH631  ,Germany,1762401889,1762401889,8.5581,49.9444,2438.4,False,127.29,249.66,0,,2537.46,0554,False,0
3c64a4,DLH691  ,Germany,1762401889,1762401889,9.1054,49.9086,3352.8,False,157.73,286.48,0,,3474.72,6601,False,0
3c64f0,DLH577  ,Germany,1762401889,1762401889,8.9662,47.0882,11582.4,False,234.51,5.16,0,,11887.2,1000,False,0
ab87c8,FDX5384 ,United States,1762401889,1762401889,10.2218,48.8706,10668,False,259.85,128,0,,10972.8,7131,False,0
a0a522,UAL84   ,United States,1762401890,1762401890,7.7383,50.6653,11582.4,False,254.79,119.52,-0.33,,11856.72,5201,False,0
440af5,TAY7TR  ,Austria,1762401888,1762401888,8.5162,50.0355,,True,8.23,115.31,,,,1000,False,0
3c6509,DLH401  ,Germany,1762401889,1762401889,8.0728,49.9299,1676.4,False,130.05,101.18,-4.88,,1760.22,2003,False,0
3c6519,DLH423  ,Germany,1762401889,1762401889,8.5231,50.0433,,True,26.75,70.31,,,,2011,False,0
3e198a,AWH91K  ,Germany,1762401890,1762401890,9.3445,52.2363,4274.82,False,92.41,219.81,6.18,,4411.98,1365,False,0
440d4c,TAY3RQ  ,Austria,1762401890,1762401890,7.0108,49.6681,11879.58,False,242.3,83.54,0,,12146.28,1000,False,0
