icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
440059,BCS24M  ,Austria,1762826949,1762826949,8.9954,50.6525,11582.4,False,209.98,247.83,0,,11498.58,1000,False,0
7380c0,ELY025  ,Israel,1762826948,1762826948,9.3526,52.0597,10972.8,False,251.9,307.78,-0.33,,10896.6,3542,False,0
a38dd8,,United States,1762826814,1762826842,7.1351,50.8657,,True,1.29,59.06,,,,,False,0
4b9903,FHY1258 ,Turkey,1762826948,1762826948,10.3156,52.3092,3848.1,False,154.84,121,9.75,,3855.72,7615,False,0
3c3ed1,FRA60   ,Germany,1762826870,1762826870,8.5945,50.0486,,True,7.2,303.75,,,,,False,0
3e1212,CHX76   ,Germany,1762826949,1762826949,7.7261,51.7059,510.54,False,47.85,233.75,0,,533.4,,False,0
3c3eda,V73     ,Germany,1762826878,1762826878,8.5294,50.0333,,True,5.92,247.5,,,,,False,0
3c81f9,M07     ,Germany,1762826759,1762826759,9.2137,48.6911,,True,3.34,253.12,,,,,False,0
45ce56,SRR6402 ,Denmark,1762826949,1762826949,7.8273,50.0902,8511.54,False,240.86,163.11,10.4,,8496.3,2540,False,0
3c5426,BCS73B  ,Germany,1762826948,1762826948,9.1528,49.3351,10066.02,False,215.96,218.62,0,,10088.88,1000,False,0
4b5da6,TE25    ,Switzerland,1762826688,1762826691,8.5572,47.4537,,True,0,171.56,,,,,False,0
a4158a,UPS284  ,United States,1762826948,1762826948,7.6084,50.8238,3794.76,False,169.57,52.64,16.26,,3787.14,3737,False,0
4b5d55,GALA7   ,Switzerland,1762826948,1762826948,8.5515,47.4462,,True,6.17,64.69,,,,,False,0
4b5c47,EUGEN12 ,Switzerland,1762826947,1762826948,8.5529,47.4542,,True,0.13,317.81,,,,,False,0
781009,CCA898  ,China,1762826948,1762826948,6.2704,46.1612,10972.8,False,250.34,43.67,0,,11049,2332,False,0
440bc9,BCS166  ,Austria,1762826948,1762826948,8.7224,51.2965,7955.28,False,191.74,259.96,-13,,7917.18,4141,False,0
4004fe,SRR6978 ,United Kingdom,1762826948,1762826948,6.607,50.7451,7208.52,False,171.01,291.16,17.23,,7147.56,4133,False,0
4853e2,MEDIC01 ,Kingdom of the Netherlands,1762826948,1762826949,6.3175,53.2747,662.94,False,76.54,98.89,-0.65,,647.7,5177,False,0
01022d,MSC2913 ,Egypt,1762826948,1762826948,7.8919,50.6469,4541.52,False,202.95,130.27,13.33,,4549.14,2543,False,0
0101db,MSR981  ,Egypt,1762826948,1762826948,9.9752,54.327,10972.8,False,261.14,325.43,-0.33,,10873.74,3554,False,0
3c433c,LEOS45  ,Germany,1762826910,1762826910,8.5292,50.0333,,True,5.14,247.5,,,,,False,0
0100a3,MSR5566 ,Egypt,1762826948,1762826948,7.8375,47.1154,11887.2,False,254.02,147.4,0,,11910.06,0105,False,0
451dad,BCS2204 ,Bulgaria,1762826949,1762826949,6.9044,46.4802,10363.2,False,204.76,325.75,0,,10431.78,5740,False,0
451dbd,BCS5302 ,Bulgaria,1762826936,1762826936,7.1359,50.8758,83.82,False,46.3,137.81,,,,7643,False,0
4b17e3,SWR     ,Switzerland,1762826563,1762826949,8.5662,47.443,,True,0,143.44,,,,2000,False,0
4b17fc,SWR     ,Switzerland,1762826947,1762826948,8.5646,47.4415,,True,0,149.06,,,,2000,False,0
