icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
471eff,WZZ2049 ,Hungary,1763054880,1763054881,8.3999,50.1354,11277.6,False,249.63,107.02,-0.33,,11498.58,4727,False,0
ae0d66,DUKE11  ,United States,1763054881,1763054881,8.24,50.0321,411.48,False,54.21,85.1,0.33,,480.06,0422,False,0
440219,EJU38LB ,Austria,1763054880,1763054881,10.0514,45.9483,6537.96,False,183.82,206.42,-12.03,,6850.38,1000,False,0
46b830,AEE510  ,Greece,1763054880,1763054881,9.3105,48.7066,617.22,False,88.26,254.1,-4.55,,708.66,6471,False,0
46b824,AEE6TH  ,Greece,1763054880,1763054881,8.4621,49.2018,10363.2,False,218.57,319.49,0.33,,10629.9,1000,False,0
440224,EJU71TU ,Austria,1763054881,1763054881,7.1744,47.5823,10972.8,False,213.66,293.11,0,,11269.98,7530,False,0
4aca89,NSZ2885 ,Sweden,1763054881,1763054881,8.0878,46.7611,10972.8,False,249.53,58.14,-0.33,,11285.22,2337,False,0
4aca98,NOZ58U  ,Sweden,1763054880,1763054881,6.5016,53.8223,10408.92,False,182.46,220.43,-6.83,,9921.24,0751,False,0
3d1229,DEFCZ   ,Germany,1763054881,1763054881,8.9149,49.6772,1493.52,False,57.25,85.88,1.95,,1600.2,4450,False,0
4400ec,EJU98RK ,Austria,1763054881,1763054881,6.2455,45.8814,11269.98,False,228.87,125.76,0.33,,11582.4,1000,False,0
471f69,WMT138  ,Hungary,1763054880,1763054881,8.2158,50.173,10965.18,False,198.8,291.72,-0.33,,11193.78,1106,False,0
3d37be,DETJA   ,Germany,1763054809,1763054866,8.6551,49.9614,121.92,False,3.13,80.54,0,,190.5,4441,False,0
ae0bc4,DUKE54  ,United States,1763054880,1763054881,9.3997,50.157,685.8,False,48.17,70.02,0.65,,777.24,0422,False,0
5003d8,T7MASHI ,San Marino,1763054880,1763054881,8.5481,47.4495,,True,8.23,196.88,,,,6017,False,0
471f37,WZZ8TW  ,Hungary,1763054881,1763054881,10.1642,49.9084,10652.76,False,244.46,101.29,-0.33,,10911.84,0674,False,0
80175e,VTALY   ,India,1763054881,1763054881,9.8909,49.7939,11887.2,False,256.92,110.76,0.33,,12100.56,4652,False,0
3c4b32,DLH717  ,Germany,1763054720,1763054720,8.5773,50.0476,,True,4.63,281.25,,,,0733,False,0
3c4b4e,EWG37L  ,Germany,1763054881,1763054881,7.8969,52.3281,8983.98,False,249.16,41.99,8.45,,8450.58,7725,False,0
3c4b4b,EWG47W  ,Germany,1763054881,1763054881,10.3582,49.0685,8686.8,False,235.83,133.23,-7.8,,8321.04,1000,False,0
3d3715,DETCN   ,Germany,1763054881,1763054881,8.5641,49.6642,1508.76,False,72.8,32.01,-0.33,,1546.86,1263,False,0
4aca0b,NSZ3518 ,Sweden,1763054880,1763054881,9.9236,54.6225,11582.4,False,180.24,237.35,-0.33,,11590.02,0762,False,0
4aca70,SAS34B  ,Sweden,1763054881,1763054881,9.1482,50.8161,10668,False,212.92,196.42,0.33,,10881.36,6031,False,0
4aca6c,SAS63J  ,Sweden,1763054880,1763054880,10.0974,53.6755,10363.2,False,197.43,207.63,0,,10447.02,5660,False,0
3d3708,DETCA   ,Germany,1763054880,1763054880,7.6732,52.1322,152.4,False,31.25,249.78,3.25,,144.78,7042,False,0
4b0ebc,HBFPC   ,Switzerland,1763054881,1763054881,9.4408,48.4709,6583.68,False,128.79,192.93,-5.53,,6835.14,1000,False,0
3d21d3,DELBF   ,Germany,1763054881,1763054881,8.6908,49.8493,563.88,False,60.65,57.12,-0.98,,624.84,4441,False,0
738061,ELY355  ,Israel,1763054864,1763054866,8.5804,50.0458,,True,2.83,340.31,,,,1000,False,0
3d3606,DESSC   ,Germany,1763054880,1763054881,10.3258,47.9874,883.92,False,61.36,20.11,-1.63,,952.5,4404,False,0
440005,EJU13BW ,Austria,1763054880,1763054881,8.8888,45.8672,10500.36,False,221.58,146.46,-3.9,,10828.02,7551,False,0
440033,OEGTX   ,Austria,1763054880,1763054880,8.5729,47.4539,,True,0,188.44,,,,,False,0
44001a,AUA317  ,Austria,1763054880,1763054880,9.3299,51.537,11582.4,False,203.16,295.98,0,,11772.9,1000,False,0
89617f,UAE61   ,United Arab Emirates,1763054880,1763054881,10.1561,53.7129,792.48,False,84.58,260.19,-2.93,,792.48,6607,False,0
896186,UAE7V   ,United Arab Emirates,1763054881,1763054881,6.51,46.5941,11582.4,False,231.23,292.91,0,,11864.34,3207,False,0
ae0ba2,SPADE22 ,United States,1763054864,1763054864,7.7988,50.041,373.38,False,57.52,312.83,-0.65,,502.92,4451,False,0
345615,ANE33HL ,Spain,1763054881,1763054881,7.2855,48.2959,4030.98,False,136.64,217.04,16.26,,4206.24,1000,False,0
4079d1,CFE33Q  ,United Kingdom,1763054880,1763054881,8.4975,49.8074,2727.96,False,134.1,199.96,18.86,,2865.12,4107,False,0
4079d2,CFE11L  ,United Kingdom,1763054881,1763054881,8.5588,47.4625,,True,4.89,199.69,,,,7303,False,0
4b0d1e,HBEZE   ,Switzerland,1763054880,1763054881,9.5048,47.5334,929.64,False,52.09,145.05,-0.33,,1028.7,7000,False,0
8005f4,AIC155  ,India,1763054880,1763054880,9.674,51.4422,13106.4,False,220.18,296.21,-0.33,,13205.46,3213,False,0
3c1459,KLM1823 ,Germany,1763054881,1763054881,8.8081,50.0926,1013.46,False,78.46,249.66,0,,1097.28,1000,False,0
346692,VLG36K  ,Spain,1763054881,1763054881,9.7907,50.416,10363.2,False,233.76,16.36,0,,10591.8,1055,False,0
44ce78,BEL2FT  ,Belgium,1763054880,1763054880,6.1716,49.9053,9098.28,False,220.83,344.18,-3.58,,9319.26,1000,False,0
89630a,UAE39K  ,United Arab Emirates,1763054880,1763054881,7.044,50.4266,10972.8,False,222.97,291.95,0,,11178.54,3113,False,0
4bb0e1,THY42K  ,Turkey,1763054881,1763054881,8.0011,50.2053,12496.8,False,263.62,107.02,0,,12656.82,2154,False,0
0200f8,RAM811D ,Morocco,1763054881,1763054881,8.4913,49.399,5158.74,False,198.32,185.06,11.05,,5326.38,2557,False,0
346611,VOE2MX  ,Spain,1763054833,1763054833,7.6459,48.5485,182.88,False,66.69,228.44,-3.9,,274.32,1000,False,0
4ab822,NSZ5074 ,Sweden,1763054880,1763054881,6.6348,48.4721,10972.8,False,249.92,13.69,0.33,,11254.74,2335,False,0
89639d,UAE70M  ,United Arab Emirates,1763054880,1763054881,8.1711,50.2097,11590.02,False,224.42,292.51,0,,11795.76,3257,False,0
80073d,AIC117  ,India,1763054881,1763054881,9.9439,49.4939,12184.38,False,230.59,297.94,-0.33,,12405.36,3277,False,0
484ee4,KLM91X  ,Kingdom of the Netherlands,1763054881,1763054881,8.3368,47.7327,2476.5,False,106.94,191.09,-4.88,,2636.52,1000,False,0
8963dd,UAE83   ,United Arab Emirates,1763054867,1763054867,6.1315,46.2534,419.1,False,72.76,225.57,-3.9,,617.22,5745,False,0
896537,ETD123  ,United Arab Emirates,1763054769,1763054769,9.8271,48.7929,,True,25.21,337.5,,,,3456,False,0
3e0fe8,CHX11   ,Germany,1763054806,1763054810,8.5012,48.0679,762,False,10.3,182.86,-1.3,,853.44,,False,0
484f80,KLM26G  ,Kingdom of the Netherlands,1763054880,1763054881,6.8538,48.1448,8298.18,False,182.9,329.4,10.08,,8557.26,1000,False,0
3e0feb,CHX42   ,Germany,1763054880,1763054881,9.7864,53.7906,464.82,False,58.39,345.72,0.33,,472.44,0020,False,0
896451,UAE3YM  ,United Arab Emirates,1763054881,1763054881,7.3285,50.4323,10972.8,False,222.64,293.13,0,,11193.78,3271,False,0
484bd1,KLM68V  ,Kingdom of the Netherlands,1763054881,1763054881,9.5773,52.4699,784.86,False,93.26,273.16,8.13,,822.96,1000,False,0
3965a5,AFR648  ,France,1763054881,1763054881,9.3669,47.6255,8839.2,False,272.1,101.12,0,,9121.14,7623,False,0
45b86a,SUS1446 ,Denmark,1763054881,1763054881,6.9291,46.7485,9448.8,False,181.15,208.31,-0.65,,9768.84,1000,False,0
3475c9,PVG3394 ,Spain,1763054880,1763054881,9.0379,50.8022,9669.78,False,211.89,304.11,-8.45,,9890.76,1000,False,0
3c49c9,EWG4ER  ,Germany,1763054880,1763054881,8.2077,50.4706,6492.24,False,206.08,122.46,10.73,,6644.64,6422,False,0
3c49ce,EWG1H   ,Germany,1763054881,1763054881,9.8366,53.7048,914.4,False,103.1,332.03,14.31,,906.78,1364,False,0
3c49cb,EWG9B   ,Germany,1763054881,1763054881,6.4101,46.1626,10668,False,223.05,197.72,0.33,,10980.42,2553,False,0
