icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
44028c,EJU72RX ,Austria,1762934826,1762934826,7.6295,47.6987,10668,False,244.9,124.99,0,,10919.46,1000,False,0
440251,CHG2286 ,Austria,1762934742,1762934742,6.1327,50.4701,3040.38,False,154.06,312.16,-3.25,,3108.96,3207,False,0
3c5ee1,EWG12Y  ,Germany,1762934695,1762934695,9.4959,49.4198,8084.82,False,215.33,22.03,9.43,,8267.7,5010,False,0
440219,EJU52KR ,Austria,1762934654,1762934654,7.5651,50.1087,10668,False,238.14,60.78,0,,10805.16,1000,False,0
3c4d4a,KLM76K  ,Germany,1762934758,1762934758,8.0053,51.6289,9753.6,False,214.75,313.06,0.33,,9906,4146,False,0
407b55,WUK8484 ,United Kingdom,1762934787,1762934787,6.2033,50.3823,10370.82,False,202.78,299.82,-0.33,,10530.84,3263,False,0
4bc854,PGT443G ,Turkey,1762934654,1762934654,9.1298,49.9816,10347.96,False,211.6,294.26,0,,10469.88,3242,False,0
8960ad,ROJ001  ,United Arab Emirates,1762934820,1762934820,8.131,48.9395,10668,False,252.91,127.31,0,,10820.4,5267,False,0
4068f0,LNX23JG ,United Kingdom,1762934785,1762934785,7.6125,47.6463,11277.6,False,243.94,154.79,-0.33,,11422.38,0524,False,0
738050,ELY326  ,Israel,1762934763,1762934763,9.9561,46.7944,10668,False,241.85,121.7,-0.33,,10820.4,6734,False,0
800582,AIC191  ,India,1762934737,1762934737,6.5239,52.6144,10363.2,False,216.29,290.03,0,,10477.5,3226,False,0
471dbc,WZZ823  ,Hungary,1762934853,1762934854,7.4259,50.5528,7673.34,False,185.44,280.87,-7.15,,7879.08,1000,False,0
440118,TAY7TR  ,Austria,1762934823,1762934823,8.5313,50.0366,,True,1.03,320.62,,,,,False,0
896407,ETD89G  ,United Arab Emirates,1762934823,1762934823,6.3805,50.669,12192,False,221.58,290.67,-0.33,,12306.3,3236,False,0
8005ef,AIC156D ,India,1762934836,1762934836,9.3949,51.4921,12496.8,False,265.17,114.78,-0.33,,12512.04,0167,False,0
896357,ETD945  ,United Arab Emirates,1762934694,1762934694,9.9236,50.2597,4038.6,False,179.5,259.43,-13,,4175.76,1000,False,0
44ce6f,BEL5PR  ,Belgium,1762934655,1762934655,8.5119,49.832,2522.22,False,132.47,199.98,10.73,,2583.18,,False,0
34664e,BCS55K  ,Spain,1762934655,1762934655,9.5577,48.7711,11582.4,False,204.77,27.21,0,,11696.7,3203,False,0
44ce61,BEL8CL  ,Belgium,1762934758,1762934758,7.8483,53.0241,10972.8,False,197.86,243.1,1.3,,11079.48,1341,False,0
40688f,BAW259  ,United Kingdom,1762934847,1762934847,6.2826,49.8362,12489.18,False,268.49,116.52,-0.33,,12557.76,5251,False,0
