icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3007f1,DLA5UT  ,Italy,1762931801,1762931801,8.3224,49.2631,6964.68,False,182.38,195.88,4.88,,7109.46,1000,False,0
40615b,BAW872  ,United Kingdom,1762931798,1762931801,9.2927,50.8479,10668,False,243.56,109.24,-0.33,,10774.68,2244,False,0
347255,BCS7019 ,Spain,1762931649,1762931649,8.3715,46.9804,10363.2,False,209.68,330.29,0,,10553.7,,False,0
407536,BAW971  ,United Kingdom,1762931618,1762931618,8.0907,53.165,10904.22,False,205.48,248.25,6.83,,11003.28,1372,False,0
4cae78,ABR7XP  ,Ireland,1762931751,1762931751,8.3419,46.7334,6400.8,False,145.13,170.2,0,,6598.92,1000,False,0
3c56f5,EWG77H  ,Germany,1762931801,1762931801,8.3536,50.5809,8519.16,False,240.96,120.4,5.85,,8709.66,0131,False,0
3c56eb,EWG55R  ,Germany,1762931622,1762931622,8.9313,48.7215,1508.76,False,130.45,206.46,-5.2,,1623.06,1331,False,0
4d2341,BCS1RF  ,Malta,1762931761,1762931761,7.7516,52.1601,10058.4,False,253.66,104.21,0.33,,10142.22,1000,False,0
3c56f4,EWG3Y   ,Germany,1762931619,1762931619,6.9392,51.0494,929.64,False,99.69,241.32,0,,975.36,1130,False,0
a48fbe,UPS267  ,United States,1762931614,1762931614,7.3389,50.5035,3360.42,False,141.47,323.13,0,,3436.62,,False,0
4d221e,RYR50SG ,Malta,1762931795,1762931795,8.3428,46.4959,11094.72,False,220.04,55.38,4.23,,11254.74,5301,False,0
4cabc3,ABR4UE  ,Ireland,1762931868,1762931868,8.3438,49.9519,6096,False,128.15,284.65,0,,6210.3,4165,False,0
4d2199,ULC44   ,Malta,1762931720,1762931720,8.5698,47.455,,True,0,95.62,,,,,False,0
348103,SWT8ST  ,Spain,1762931821,1762931821,6.2673,50.2621,3444.24,False,133.96,312.82,-5.85,,3512.82,,False,0
4b191b,SWR138  ,Switzerland,1762931787,1762931787,9.5198,47.4365,5935.98,False,226.48,94.3,11.05,,6096,,False,0
4b193a,CSW615  ,Switzerland,1762931730,1762931730,9.1612,47.153,8465.82,False,235.63,317.74,-8.13,,8663.94,1000,False,0
3c66e1,DLH21A  ,Germany,1762931619,1762931619,8.424,50.1086,3352.8,False,146.01,69.59,0,,3474.72,1000,False,0
4b17f8,SWR41L  ,Switzerland,1762931662,1762931662,8.5606,47.4428,,True,0,244.69,,,,,False,0
