icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c542b,BCS73B  ,Germany,1762999670,1762999670,8.3565,48.5786,10058.4,False,216.13,219.11,0,,10317.48,1000,False,0
4b5da1,ATL780  ,Switzerland,1762999565,1762999565,8.5625,47.4419,,True,2.57,64.69,,,,,False,0
440058,BCS24M  ,Austria,1762999670,1762999670,7.2878,50.201,10363.2,False,206.85,246.24,0,,10584.18,1000,False,0
a41cf8,UPS284  ,United States,1762999669,1762999669,8.3495,51.3992,7498.08,False,250.75,37.25,11.7,,7696.2,3747,False,0
896195,UAE242  ,United Arab Emirates,1762999670,1762999670,7.2835,52.1696,11887.2,False,276.41,104.99,-0.33,,12039.6,0702,False,0
738101,ELY003  ,Israel,1762999669,1762999669,7.9886,47.8186,11582.4,False,237.66,305.31,-0.33,,11879.58,2263,False,0
343041,SWT1CW  ,Spain,1762999669,1762999670,9.7856,50.4817,5791.2,False,158.25,102.77,0,,5958.84,7717,False,0
7380c1,ELY025  ,Israel,1762999669,1762999669,7.9427,47.8361,10965.18,False,242.8,305.34,0,,11277.6,2222,False,0
440bcc,BCS166  ,Austria,1762999669,1762999669,7.5486,51.1049,2506.98,False,113.75,260.37,-3.25,,2583.18,4165,False,0
4bb193,THY9LC  ,Turkey,1762999670,1762999670,9.3176,51.5052,11879.58,False,271.01,104.51,-0.33,,12070.08,1147,False,0
3ddc6b,CHX86   ,Germany,1762999669,1762999669,9.7409,52.4944,350.52,False,53.88,222.68,0.33,,350.52,0020,False,0
a1b5e7,UAL141  ,United States,1762999669,1762999669,6.013,48.6875,10355.58,False,238.29,307.19,0.33,,10622.28,1156,False,0
4bcda1,SXS22R  ,Turkey,1762999655,1762999655,7.1261,50.8799,,True,5.66,109.69,,,,6437,False,0
78029e,CSS112  ,China,1762999670,1762999670,6.8679,51.5915,9448.8,False,270.06,43.15,0,,9616.44,7104,False,0
01024d,MSC2904 ,Egypt,1762999485,1762999485,7.1352,50.8731,,True,4.89,317.81,,,,2000,False,0
01024c,MSC2917 ,Egypt,1762999661,1762999668,7.1208,50.881,,True,0,216.56,,,,2541,False,0
3c81f9,M07     ,Germany,1762999537,1762999537,9.2006,48.6851,,True,11.83,160.31,,,,,False,0
3c458b,BOX195  ,Germany,1762999670,1762999670,6.4864,52.7003,11887.2,False,274.78,91.29,0,,12024.36,2002,False,0
45cf24,SRR6402 ,Denmark,1762999669,1762999669,8.3599,49.2977,11887.2,False,229.09,165.43,-0.33,,12115.8,2570,False,0
3c433c,LEOS45  ,Germany,1762999384,1762999525,8.5584,50.0444,,True,7.72,98.44,,,,,False,0
0100a7,MSR523  ,Egypt,1762999669,1762999670,9.4038,48.5332,12496.8,False,253.3,124.66,0,,12755.88,0102,False,0
3c4306,LEOS61  ,Germany,1762999457,1762999457,8.56,50.0461,,True,5.66,70.31,,,,,False,0
451dad,BCS2204 ,Bulgaria,1762999669,1762999670,6.3326,48.6221,10363.2,False,220.4,333.38,0.33,,10614.66,5765,False,0
4b17fc,SWR105W ,Switzerland,1762999580,1762999654,8.562,47.4409,,True,0,244.69,,,,,False,0
4b17fa,GRUEZI  ,Switzerland,1762999668,1762999670,8.5654,47.4413,,True,0,146.25,,,,2000,False,0
