icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
4b1815,SWR9EX  ,Switzerland,1763911910,1763911915,8.5588,47.4515,,True,0,185.62,,,,1000,False,0
4b1819,SWR7XK  ,Switzerland,1763912195,1763912196,8.5594,47.4516,,True,0.06,185.62,,,,1000,False,0
39de51,TVF89KL ,France,1763912214,1763912214,7.3377,50.8275,11590.02,False,209.6,242.99,-0.33,,11330.94,1000,False,0
4b1807,SWR2PH  ,Switzerland,1763912215,1763912215,9.6819,47.7285,5753.1,False,169.45,272.78,-5.2,,5715,1000,False,0
4b1800,SWR868L ,Switzerland,1763912192,1763912213,8.5512,47.4614,441.96,True,0,64.69,,,,2000,False,0
4b1802,SWR8VD  ,Switzerland,1763912081,1763912081,8.556,47.4521,,True,0,334.69,,,,,False,0
4952ce,TAP72LP ,Portugal,1763912215,1763912215,8.3313,50.0862,2773.68,False,160.34,69.53,-4.55,,2712.72,1000,False,0
4b180c,SWR7EB  ,Switzerland,1763912213,1763912213,8.5679,47.455,,True,0,129.38,,,,3050,False,0
4b180b,SWR486T ,Switzerland,1763912215,1763912215,8.5468,48.064,3672.84,False,164.77,190.43,-4.88,,3649.98,0752,False,0
3c666b,DLH3E   ,Germany,1763912215,1763912215,10.3038,52.7708,6751.32,False,222.39,161.52,4.88,,6576.06,1350,False,0
3c667a,DLH2RJ  ,Germany,1763912215,1763912215,9.328,49.8205,2796.54,False,162.63,339.44,-4.55,,2735.58,1000,False,0
3c65c3,DLH3VA  ,Germany,1763912200,1763912200,8.5694,50.0466,,True,4.89,205.31,,,,,False,0
4bc8ce,PGT7CM  ,Turkey,1763912214,1763912214,8.0314,50.5903,10058.4,False,272.09,123.51,0,,9867.9,4722,False,0
3c65c4,DLH1UV  ,Germany,1763912215,1763912215,9.8926,51.3002,9144,False,207.14,331.84,-0.33,,8938.26,3730,False,0
3c65c8,DLH5RV  ,Germany,1763912215,1763912215,8.9288,49.8009,10660.38,False,272.85,119.85,-0.33,,10454.64,4623,False,0
3c5ee3,EWG2H   ,Germany,1763912214,1763912215,9.7687,51.9792,10111.74,False,215.67,358.09,-5.2,,9860.28,3073,False,0
3c5ef6,EWG83W  ,Germany,1763912215,1763912215,8.868,48.6691,1379.22,False,139.71,122.52,-5.2,,1371.6,1000,False,0
3c5eed,EWG64J  ,Germany,1763912213,1763912215,6.1373,47.7595,11582.4,False,204.23,359.86,0,,11437.62,1000,False,0
3c5eea,EWG2LC  ,Germany,1763912215,1763912215,8.0527,53.3328,9144,False,197.06,189.31,0,,8839.2,1000,False,0
3c65d6,DLH1HN  ,Germany,1763912214,1763912215,9.4868,49.4518,7475.22,False,227.08,133.35,11.7,,7368.54,1000,False,0
3c5ef5,EWG73A  ,Germany,1763912215,1763912215,9.9215,53.7164,541.02,False,62.58,153.65,-2.6,,495.3,5036,False,0
3c5ef2,EWG4R   ,Germany,1763912215,1763912215,9.3091,48.163,11567.16,False,208.04,2.55,0.33,,11353.8,1000,False,0
a8320e,UPS21   ,United States,1763912214,1763912214,6.9693,50.9912,1120.14,False,97.34,147.74,-4.55,,1043.94,6601,False,0
4aca87,NSZ5709 ,Sweden,1763912215,1763912215,6.4421,54.6836,10972.8,False,216.7,202.91,0,,10591.8,0750,False,0
4aca98,NOZ1718 ,Sweden,1763912215,1763912215,6.3477,54.3805,10972.8,False,216.3,203.7,0,,10599.42,3536,False,0
471f8f,WMT9021 ,Hungary,1763912215,1763912215,8.5267,47.6967,7338.06,False,173.12,275.46,-11.38,,7322.82,1000,False,0
3c6749,DLH818  ,Germany,1763912214,1763912215,8.4682,49.9564,1722.12,False,96.2,194.56,6.18,,1676.4,7721,False,0
471f64,WMT485  ,Hungary,1763912215,1763912215,9.3439,51.435,10980.42,False,201.72,280.13,-0.33,,10706.1,3544,False,0
471f74,WZZ3174 ,Hungary,1763911947,1763911952,9.9886,53.639,83.82,True,40.13,151.88,,,,3111,False,0
4400b7,EJU7870 ,Austria,1763912214,1763912214,6.0413,46.191,1592.58,False,92.78,226.12,4.23,,1623.06,,False,0
4400b2,EJU74UK ,Austria,1763912215,1763912215,8.8416,46.4292,8161.02,False,166.57,353.97,-5.53,,8115.3,1000,False,0
3c674d,DLH961  ,Germany,1763912034,1763912035,8.5412,50.0391,,True,0,250.31,,,,1070,False,0
471f54,WMT1414 ,Hungary,1763912215,1763912215,8.0938,48.6379,3124.2,False,140.96,89.79,10.73,,3078.48,6723,False,0
3c6718,DLH2C   ,Germany,1763912215,1763912215,9.8018,52.1218,11582.4,False,235.3,331.25,0,,11262.36,6650,False,0
3d22bb,DELKD   ,Germany,1763912215,1763912215,7.5786,51.8842,6446.52,False,62.58,296.35,3.9,,6301.74,2563,False,0
3c6584,DLH806  ,Germany,1763912214,1763912214,9.9639,52.35,11285.22,False,235.94,19.62,-0.33,,10988.04,3730,False,0
3c6582,DLH83T  ,Germany,1763912215,1763912215,9.9819,49.6194,10363.2,False,180.47,289.83,-0.98,,10165.08,1000,False,0
3c6588,DLH01Y  ,Germany,1763911940,1763911940,8.5622,50.044,,True,0,160.31,,,,1000,False,0
3c6586,DLH1KT  ,Germany,1763912214,1763912214,9.723,49.4046,7010.4,False,198.08,127.61,0.33,,6918.96,1000,False,0
3c6585,DLH02U  ,Germany,1763912215,1763912215,8.5404,49.7926,3573.78,False,147.77,177.61,15.93,,3497.58,1000,False,0
3c658c,DLH2YF  ,Germany,1763912215,1763912215,8.8983,50.1324,1577.34,False,92.3,249.44,-2.28,,1546.86,1000,False,0
4b5da4,TE23    ,Switzerland,1763912034,1763912034,8.5578,47.4545,,True,3.09,14.06,,,,,False,0
4b5da8,ATL778  ,Switzerland,1763911950,1763912215,8.5569,47.4537,,True,3.09,50.62,,,,,False,0
3c6542,DLH5ML  ,Germany,1763912214,1763912214,8.7871,50.0871,1074.42,False,79.12,249.44,-6.18,,1051.56,1000,False,0
3c6541,DLH2518 ,Germany,1763912215,1763912215,8.5204,50.8872,9753.6,False,186.34,303.51,-0.33,,9555.48,6672,False,0
3c4b45,EWG59G  ,Germany,1763912215,1763912215,9.3597,49.1094,8534.4,False,206.28,4,0,,8420.1,1000,False,0
4b5daf,RTT8    ,Switzerland,1763912214,1763912215,8.5534,47.4608,,True,0,312.19,,,,,False,0
4b5dad,RTT1    ,Switzerland,1763912158,1763912160,8.5527,47.4609,,True,0,182.81,,,,,False,0
