icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c5433,BCS6GA  ,Germany,1763693658,1763693658,7.9374,46.9265,10668,False,227.13,154.65,0,,10287,1000,False,0
34804a,RGN1810 ,Spain,1763693644,1763693644,7.1412,50.8679,,True,6.17,345.94,,,,,False,0
a41cf8,UPS292  ,United States,1763693658,1763693658,8.4676,51.4695,9319.26,False,239.3,39.68,11.7,,8892.54,3735,False,0
4b5d54,GALA6   ,Switzerland,1763693656,1763693656,8.5651,47.4583,,True,4.37,137.81,,,,,False,0
4b5d71,VIKTOR38,Switzerland,1763693655,1763693655,8.5568,47.4616,,True,2.31,112.5,,,,,False,0
500194,ELY804  ,San Marino,1763693658,1763693658,7.5035,48.0626,9456.42,False,234.38,126.97,0.33,,9044.94,0101,False,0
452112,BCS7NC  ,Bulgaria,1763693657,1763693657,9.5859,54.6365,10058.4,False,223.49,55.03,-0.33,,9601.2,7137,False,0
a05627,UAL91   ,United States,1763693658,1763693658,7.9569,51.3333,10355.58,False,253.11,306.4,0,,9913.62,0603,False,0
7380c6,ELY001  ,Israel,1763693658,1763693658,8.1165,53.8147,10972.8,False,244.06,307.38,-0.33,,10515.6,1141,False,0
7380c8,ELY005  ,Israel,1763693657,1763693657,10.2996,54.8767,10965.18,False,244.56,326.41,-0.33,,10492.74,3104,False,0
440bcc,BCS166  ,Austria,1763693657,1763693657,8.2222,51.1982,5539.74,False,185.16,259.6,-10.73,,5364.48,4141,False,0
440bcf,BCS7332 ,Austria,1763693658,1763693658,8.002,46.5256,9105.9,False,220.19,127.41,-5.85,,8732.52,1000,False,0
4b5c39,GALA21  ,Switzerland,1763693657,1763693657,8.5651,47.4583,,True,4.12,137.81,,,,,False,0
4b5c27,EUGEN11 ,Switzerland,1763693655,1763693656,8.5645,47.4612,,True,0,312.19,,,,,False,0
abfa8e,FDX5384 ,United States,1763693657,1763693657,10.451,48.2337,10058.4,False,242.56,128.89,0,,9685.02,7135,False,0
440bc7,BCS409  ,Austria,1763693658,1763693658,8.4784,46.2215,7071.36,False,184.73,172.48,-6.83,,6812.28,2534,False,0
485341,KLM856  ,Kingdom of the Netherlands,1763693658,1763693658,8.5733,51.729,11582.4,False,239.7,294.2,-0.33,,11148.06,1000,False,0
8940d1,DHX755  ,Bahrain,1763693657,1763693657,10.1162,49.84,8534.4,False,204.05,215.97,0,,8161.02,1000,False,0
a48c07,UPS242  ,United States,1763693657,1763693658,6.4097,50.1968,8930.64,False,236.17,186.63,12.68,,8496.3,4116,False,0
a3c2d5,UPS236  ,United States,1763693657,1763693657,6.6702,50.7212,7482.84,False,219.16,289.33,5.53,,7155.18,4106,False,0
8966d0,ETD2    ,United Arab Emirates,1763693658,1763693658,9.2881,47.5873,11285.22,False,261.06,105.08,0,,10888.98,2205,False,0
ac6744,FDX5040 ,United States,1763693658,1763693658,9.5988,46.6553,10058.4,False,246.81,119.88,0,,9707.88,0662,False,0
3c3eec,LEOS70  ,Germany,1763693564,1763693564,8.5963,50.0437,,True,7.72,357.19,,,,,False,0
3c8221,F185    ,Germany,1763693657,1763693657,9.1999,48.6873,,True,6.94,205.31,,,,,False,0
300621,IBRXA   ,Italy,1763693450,1763693450,9.3633,46.0865,1859.28,False,48.04,46.74,-1.95,,1805.94,,False,0
4cae87,ABR5TW  ,Ireland,1763693657,1763693657,6.5732,50.2522,6400.8,False,139.8,99.53,0,,6141.72,7121,False,0
a48fbe,UPS259  ,United States,1763693657,1763693657,7.4534,50.7962,3467.1,False,159.55,98.16,10.73,,3375.66,2520,False,0
3c4584,BOX195  ,Germany,1763693658,1763693658,6.7013,51.2614,11887.2,False,251.46,93.28,-0.33,,11445.24,2003,False,0
4c0221,ASL501  ,Serbia,1763693658,1763693658,7.1984,50.2681,11277.6,False,244.04,114.4,0.33,,10866.12,1154,False,0
3480da,SWT4HJ  ,Spain,1763693658,1763693658,6.3847,51.1109,5791.2,False,149.56,46.53,0.33,,5562.6,1000,False,0
3c4326,V97     ,Germany,1763693599,1763693639,8.5694,50.0463,,True,8.75,30.94,,,,,False,0
3c4324,V95     ,Germany,1763693348,1763693348,8.5734,50.0443,,True,7.72,255.94,,,,2606,False,0
a84ab1,UPS4    ,United States,1763693658,1763693658,7.0383,50.6696,4625.34,False,168.27,271.4,6.5,,4488.18,4122,False,0
45ce57,SRR6498 ,Denmark,1763693599,1763693652,7.1355,50.8656,,True,6.69,64.69,,,,,False,0
45ce56,SRR6374 ,Denmark,1763693657,1763693657,7.2926,50.8097,1546.86,False,118.95,97.95,13.66,,1554.48,4101,False,0
45ce46,SRR6382 ,Denmark,1763693658,1763693658,6.5282,50.4419,5715,False,196.9,248.87,9.75,,5501.64,4111,False,0
3c4319,V83     ,Germany,1763693634,1763693634,8.5962,50.0401,,True,13.38,213.75,,,,,False,0
4b17e0,,Switzerland,1763693652,1763693658,8.5678,47.4444,,True,0.06,326.25,,,,,False,0
4b17fa,SWR8YP  ,Switzerland,1763693523,1763693599,8.5578,47.4615,,True,0,185.62,,,,2000,False,0
