icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c542e,BCS21G  ,Germany,1763003802,1763003803,6.6517,52.3486,8115.3,False,210.74,284.27,-5.2,,8290.56,1000,False,0
3c6561,OCN139  ,Germany,1763003803,1763003803,7.6154,46.5387,12192,False,245.81,18.55,0,,12489.18,1000,False,0
3c656e,DLH595  ,Germany,1763003803,1763003803,7.5393,46.2577,10972.8,False,260.8,17.68,0.33,,11308.08,1000,False,0
3c64b1,DLH581  ,Germany,1763003802,1763003802,10.261,48.1763,8313.42,False,236.53,321.53,-7.48,,8625.84,1000,False,0
a4158a,UPS292  ,United States,1763003803,1763003803,10.3005,52.9649,9448.8,False,260.18,39.54,0,,9624.06,3741,False,0
45202b,CGF1808 ,Bulgaria,1763003691,1763003751,7.1209,50.8763,,True,7.2,16.88,,,,6431,False,0
a806d8,UPS10   ,United States,1763003803,1763003803,7.4368,50.7976,1440.18,False,149.07,97.93,5.85,,1493.52,6434,False,0
4b5d71,VIKTOR38,Switzerland,1763003803,1763003803,8.5507,47.4618,,True,3.09,317.81,,,,,False,0
45217e,AIZ991  ,Bulgaria,1763003803,1763003803,6.6033,54.8329,11582.4,False,203.51,308.64,0,,11650.98,1146,False,0
7380c5,ELY005  ,Israel,1763003802,1763003803,9.5816,54.8134,10363.2,False,227.85,324.37,-0.33,,10477.5,7547,False,0
4b5c19,GUSTI1  ,Switzerland,1763003803,1763003803,8.5457,47.4511,,True,13.89,199.69,,,,,False,0
4b5c27,EUGEN11 ,Switzerland,1763003803,1763003803,8.5606,47.4563,,True,17.49,95.62,,,,,False,0
3c0ca7,TUI9WT  ,Germany,1763003803,1763003803,9.1539,52.3404,3733.8,False,160.55,237.43,13.98,,3802.38,1121,False,0
a50c4b,UPS282  ,United States,1763003802,1763003802,8.5217,51.6324,8260.08,False,259.97,33.78,8.13,,8458.2,3745,False,0
896461,ETD8MY  ,United Arab Emirates,1763003803,1763003803,9.3869,52.1234,11887.2,False,270.37,119.15,0,,12054.84,0776,False,0
896597,ETD76T  ,United Arab Emirates,1763003803,1763003803,7.4423,47.6433,11277.6,False,258.3,98.94,-0.33,,11567.16,2374,False,0
396669,FDX4839 ,France,1763003803,1763003803,8.8623,48.814,10073.64,False,233.57,103.76,-0.65,,10309.86,2107,False,0
491d8a,NJE318E ,Portugal,1763003803,1763003803,6.0629,48.1354,13716,False,255.47,105.3,-1.3,,13921.74,1176,False,0
8965f3,ETD6PX  ,United Arab Emirates,1763003802,1763003802,9.4568,51.3241,11269.98,False,272.3,113.61,0,,11506.2,0704,False,0
a48c07,UPS274  ,United States,1763003802,1763003802,8.2573,50.5369,7551.42,False,232.69,109.64,14.31,,7726.68,7647,False,0
a49375,UPS260  ,United States,1763003803,1763003803,9.0103,48.9329,10675.62,False,235.43,151.98,-0.33,,10911.84,2540,False,0
c01729,ACA43   ,Canada,1763003803,1763003803,7.0083,53.479,9753.6,False,222.93,296.45,0,,9906,3270,False,0
48c5e8,SRN6262 ,Poland,1763003802,1763003802,7.1405,50.8652,,True,10.8,61.88,,,,4116,False,0
8966d3,ETD2    ,United Arab Emirates,1763003803,1763003803,9.6072,52.1181,11277.6,False,268.96,119.95,0,,11460.48,0701,False,0
3c70b4,BCS198  ,Germany,1763003803,1763003803,8.8286,48.9646,11277.6,False,216.38,219.4,0,,11544.3,1000,False,0
3c70aa,BCS120  ,Germany,1763003802,1763003803,6.2141,51.0156,4290.06,False,159.41,258.84,-5.2,,4404.36,1000,False,0
01024d,MSC2905 ,Egypt,1763003786,1763003800,7.1209,50.881,99.06,True,0,216.56,,,,2543,False,0
39b225,CMA573  ,France,1763003803,1763003803,8.0113,46.0018,10363.2,False,230.91,306.03,0,,10683.24,3216,False,0
4cae78,ABR7XP  ,Ireland,1763003803,1763003803,6.1994,50.2316,5410.2,False,109.58,149.22,2.28,,5547.36,1000,False,0
3c56a3,GEC8301 ,Germany,1763003803,1763003803,9.1224,46.9859,11590.02,False,228.21,2.97,0,,11879.58,1000,False,0
a48fbe,UPS266  ,United States,1763003803,1763003803,8.52,49.5261,10066.02,False,234.6,151.3,0.65,,10309.86,0635,False,0
a53013,UPS294  ,United States,1763003803,1763003803,9.8123,50.3332,10058.4,False,252.1,102.73,0,,10309.86,7646,False,0
407ea1,DHK4SM  ,United Kingdom,1763003803,1763003803,6.6291,51.902,10972.8,False,201.19,277.2,0,,11140.44,4151,False,0
4cabc5,ABR2CH  ,Ireland,1763003803,1763003803,8.6214,52.6662,5791.2,False,165.9,43.99,0,,5882.64,7131,False,0
3c42f7,APT3    ,Germany,1763003675,1763003675,8.5244,50.0342,,True,15.95,129.38,,,,,False,0
4cac62,ABR140  ,Ireland,1763003596,1763003650,7.1215,50.882,,True,0.06,126.56,,,,7705,False,0
45cf22,SRR6374 ,Denmark,1763003803,1763003803,7.0265,48.4694,9456.42,False,219.23,200.18,-0.33,,9738.36,4111,False,0
3480da,SWT4HJ  ,Spain,1763003803,1763003803,9.9676,52.4592,960.12,False,82.83,270.36,0,,967.74,4473,False,0
45ce4b,SRR6382 ,Denmark,1763003803,1763003803,6.221,49.3908,11719.56,False,220.17,183.89,5.2,,11940.54,4133,False,0
45ce57,SRR6498 ,Denmark,1763003802,1763003802,8.0376,49.6846,10873.74,False,224.93,173.04,9.75,,11102.34,2573,False,0
45ce55,SRR6118 ,Denmark,1763003785,1763003800,7.1376,50.8714,99.06,True,6.69,317.81,,,,1253,False,0
344647,SWT1KR  ,Spain,1763003803,1763003803,7.6667,50.8416,2438.4,False,121.3,65.17,4.88,,2506.98,7653,False,0
3c4306,LEOS61  ,Germany,1763003734,1763003768,8.5571,50.0442,,True,1.8,219.38,,,,,False,0
3c4315,,Germany,1763003504,1763003504,8.567,50.0471,,True,3.34,298.12,,,,,False,0
406a35,BAW262  ,United Kingdom,1763003803,1763003803,9.8488,46.7601,11582.4,False,231.81,306.97,0,,11894.82,7531,False,0
4b17fc,SWR105W ,Switzerland,1763003796,1763003796,8.562,47.4409,,True,0,244.69,,,,,False,0
