icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
39de4b,TVF67QR ,France,1762969482,1762969482,6.1404,45.8892,11887.2,False,238.82,137.27,0.33,,12199.62,1000,False,0
44028c,EJU72RX ,Austria,1762969473,1762969473,8.7842,47.128,10668,False,246.73,126.61,-0.33,,10919.46,,False,0
511189,MBU8XL  ,Estonia,1762969444,1762969444,9.1963,53.4215,5509.26,False,147.34,249.35,8.78,,5593.08,1135,False,0
4bc8c4,PGT55ML ,Turkey,1762969421,1762969421,6.8534,50.5129,10965.18,False,201.47,292.05,0,,11170.92,3274,False,0
4bc8cd,,Turkey,1762969483,1762969483,7.7511,51.9968,9601.2,False,203.91,295.08,-4.88,,9791.7,,False,0
46b833,AEE6TH  ,Greece,1762969448,1762969448,10.1849,48.215,10363.2,False,219.02,326.01,0,,10652.76,,False,0
3c4b45,EWG59G  ,Germany,1762969448,1762969448,9.4177,49.6377,9753.6,False,211.62,6.14,0,,10005.06,1000,False,0
4401fa,EJU93QT ,Austria,1762969470,1762969470,9.4109,52.8096,6606.54,False,211.53,187.13,15.61,,6736.08,1124,False,0
3d21c2,DELAO   ,Germany,1762969448,1762969448,7.1045,51.7014,1249.68,False,79.96,234.16,0,,1280.16,,False,0
440017,OEANN   ,Austria,1762969231,1762969231,9.5444,47.2598,1463.04,False,58.96,29.25,-0.65,,1554.48,,False,0
a03b64,N114DK  ,United States,1762969231,1762969231,8.445,53.0839,891.54,False,58.08,147.3,-10.08,,883.92,,False,0
781b5c,CCA855  ,China,1762969231,1762969231,9.6678,52.8447,11582.4,False,214.19,258.5,0,,11567.16,,False,0
3c4b23,DLH457  ,Germany,1762969317,1762969317,8.9062,50.1158,1203.96,False,94.96,248.72,-1.3,,1280.16,,False,0
471db9,,Hungary,1762969371,1762969444,7.6192,51.5189,,True,13.89,61.88,,,,,False,0
e80632,12777R9 ,Chile,1762969483,1762969483,9.8341,53.5313,,True,0.06,205.31,,,,,False,0
896357,ETD945  ,United Arab Emirates,1762969508,1762969508,9.1599,50.1709,1737.36,False,143.79,259.7,-7.8,,1821.18,1000,False,0
4b1f2f,HBLVB   ,Switzerland,1762969357,1762969357,9.5639,47.8589,1653.54,False,80.98,126.21,-3.58,,1760.22,,False,0
c0248a,,Canada,1762969230,1762969230,6.4141,49.7015,929.64,False,83.85,240.6,-1.63,,975.36,,False,0
484c50,KLM66J  ,Kingdom of the Netherlands,1762969470,1762969470,6.2019,52.6816,5166.36,False,147.67,246.38,-6.18,,5250.18,1342,False,0
3009b4,DLA5LY  ,Italy,1762969286,1762969286,8.5275,49.9626,1234.44,False,88.63,176.67,13,,1310.64,,False,0
4078de,BAW108  ,United Kingdom,1762969482,1762969482,6.3209,50.6779,11574.78,False,218.86,291.8,-0.33,,11788.14,,False,0
40799c,CFE11L  ,United Kingdom,1762969357,1762969357,7.8633,47.5826,3688.08,False,189.99,79.39,-14.31,,3848.1,,False,0
a8deda,UAL170  ,United States,1762969510,1762969510,7.9566,47.4814,11277.6,False,251.87,126.61,0,,11475.72,,False,0
4d00ca,LGL361G ,Luxembourg,1762969286,1762969288,6.5047,48.8976,7010.4,False,152.23,170.67,5.85,,7216.14,,False,0
502d47,SWR1FP  ,Latvia,1762969444,1762969444,8.9371,47.577,4572,False,181.6,50.4,0,,4747.26,3025,False,0
3de045,DHFEJ   ,Germany,1762969231,1762969231,8.3836,49.3897,289.56,False,47.72,131.94,0.33,,342.9,7000,False,0
06a2b7,,Qatar,1762969447,1762969447,6.5257,50.4625,10668,False,268.52,104.65,0,,,,False,0
4ba8ce,TKJ2DZ  ,Turkey,1762969198,1762969198,10.0436,50.0461,10058.4,False,248.93,116.78,0,,10294.62,7657,False,0
