icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
3c542e,BCS21G  ,Germany,1763003760,1763003761,6.778,52.329,8328.66,False,213.36,284.24,-4.88,,8503.92,1000,False,0
3c6561,OCN139  ,Germany,1763003761,1763003761,7.5726,46.4507,12192,False,245.32,18.59,0,,12489.18,1000,False,0
3c656e,DLH595  ,Germany,1763003761,1763003761,7.4901,46.1659,10972.8,False,261.87,25.36,-0.33,,11315.7,1000,False,0
3c64b1,DLH581  ,Germany,1763003760,1763003760,10.3439,48.1062,8633.46,False,236.61,321.71,-7.48,,8953.5,1000,False,0
a4158a,UPS292  ,United States,1763003761,1763003761,10.1963,52.8886,9448.8,False,260.18,39.54,0,,9624.06,3741,False,0
45202b,CGF1808 ,Bulgaria,1763003691,1763003751,7.1209,50.8763,,True,7.2,16.88,,,,6431,False,0
a806d8,UPS10   ,United States,1763003761,1763003761,7.3536,50.8045,1226.82,False,129.6,97.07,4.23,,1272.54,6434,False,0
4b5d71,VIKTOR38,Switzerland,1763003761,1763003761,8.5506,47.4624,,True,2.57,98.44,,,,,False,0
45217e,AIZ991  ,Bulgaria,1763003761,1763003761,6.7083,54.7845,11582.4,False,204.95,308.68,0,,11658.6,1146,False,0
7380c5,ELY005  ,Israel,1763003761,1763003761,9.6676,54.744,10355.58,False,226,324.36,-0.33,,10469.88,7547,False,0
4b5c19,GUSTI1  ,Switzerland,1763003761,1763003761,8.546,47.4554,,True,19.03,106.88,,,,,False,0
4b5c27,EUGEN11 ,Switzerland,1763003761,1763003761,8.5538,47.4557,,True,15.95,343.12,,,,,False,0
3c0ca7,TUI9WT  ,Germany,1763003761,1763003761,9.2347,52.372,3352.8,False,146.42,237.48,4.88,,3413.76,1121,False,0
a50c4b,UPS282  ,United States,1763003760,1763003760,8.4338,51.5503,7917.18,False,257.11,33.66,8.13,,8115.3,3745,False,0
896461,ETD8MY  ,United Arab Emirates,1763003761,1763003761,9.2425,52.173,11887.2,False,269.67,119.11,0,,12054.84,0776,False,0
896597,ETD76T  ,United Arab Emirates,1763003761,1763003761,7.301,47.6583,11277.6,False,258.81,98.92,0,,11567.16,2374,False,0
396669,FDX4839 ,France,1763003761,1763003761,8.7324,48.8351,10073.64,False,232.95,103.67,-0.33,,10309.86,2107,False,0
8965f3,ETD6PX  ,United Arab Emirates,1763003760,1763003760,9.307,51.365,11277.6,False,272.09,113.51,-0.33,,11513.82,0704,False,0
a48c07,UPS274  ,United States,1763003760,1763003760,8.1277,50.5665,6926.58,False,228.64,109.86,12.03,,7086.6,7647,False,0
a49375,UPS260  ,United States,1763003761,1763003761,8.9471,49.0108,10675.62,False,235.01,151.64,0,,10911.84,2540,False,0
c01729,ACA43   ,Canada,1763003761,1763003761,7.135,53.4412,9753.6,False,224.09,296.74,0,,9913.62,3270,False,0
48c5e8,SRN6262 ,Poland,1763003760,1763003760,7.1344,50.864,,True,7.72,123.75,,,,4116,False,0
8966d3,ETD2    ,United Arab Emirates,1763003761,1763003761,9.4646,52.1686,11277.6,False,268,119.81,0,,11460.48,0701,False,0
3c70b4,BCS198  ,Germany,1763003761,1763003761,8.9077,49.0279,11277.6,False,216.71,219.51,0,,11551.92,1000,False,0
3c70aa,BCS120  ,Germany,1763003761,1763003761,6.3075,51.0271,4503.42,False,162.44,259.05,-4.88,,4617.72,1000,False,0
01024d,MSC2905 ,Egypt,1763003757,1763003757,7.1209,50.881,,True,0,216.56,,,,2543,False,0
39b225,CMA573  ,France,1763003761,1763003761,8.1131,45.9504,10363.2,False,231.98,305.52,0,,10690.86,3216,False,0
4cae78,ABR7XP  ,Ireland,1763003761,1763003761,6.1678,50.2673,5265.42,False,108.4,151.98,3.25,,5402.58,1000,False,0
3c56a3,GEC8301 ,Germany,1763003761,1763003761,9.1159,46.8995,11582.4,False,228.72,2.97,0.33,,11871.96,1000,False,0
a48fbe,UPS266  ,United States,1763003761,1763003761,8.4548,49.604,10058.4,False,233.66,151.46,0,,10302.24,0635,False,0
a53013,UPS294  ,United States,1763003761,1763003761,9.6685,50.3538,10058.4,False,248.25,102.57,0,,10302.24,7646,False,0
407ea1,DHK4SM  ,United Kingdom,1763003760,1763003761,6.7519,51.8922,10972.8,False,201.39,277.63,0,,11148.06,4151,False,0
4cabc5,ABR2CH  ,Ireland,1763003761,1763003761,8.5496,52.6208,5791.2,False,165.55,43.87,0,,5882.64,7131,False,0
3c42f7,APT3    ,Germany,1763003675,1763003675,8.5244,50.0342,,True,15.95,129.38,,,,,False,0
